Name,RegNo,DOB,Email
Student1,CSE001,2002-02-25,cse001@student.edu.in
Student2,CSE002,2003-07-14,cse002@student.edu.in
Student3,CSE003,2004-01-09,cse003@student.edu.in 
Student4,CSE004,2002-11-30,cse004@student.edu.in
Student5,CSE005,2003-05-18,cse005@student.edu.in
Student6,CSE006,2004-08-10,cse006@student.edu.in
Student7,CSE007,2005-03-22,cse007@student.edu.in
Student8,CSE008,2002-09-05,cse008@student.edu.in
Student9,CSE009,2003-12-17,cse009@student.edu.in
Student10,CSE010,2004-06-01,cse010@student.edu.in
Student11,CSE011,2005-02-14,cse011@student.edu.in
Student12,CSE012,2002-04-27,cse012@student.edu.in
Student13,CSE013,2003-10-08,cse013@student.edu.in
Student14,CSE014,2004-07-19,cse014@student.edu.in
Student15,CSE015,2005-01-03,cse015@student.edu.in
Student16,CSE016,2002-08-21,cse016@student.edu.in
Student17,CSE017,2003-03-11,cse017@student.edu.in
Student18,CSE018,2004-11-29,cse018@student.edu.in
Student19,CSE019,2005-06-16,cse019@student.edu.in
Student20,CSE020,2002-12-02,cse020@student.edu.in
Student21,CSE021,2003-09-25,cse021@student.edu.in
Student22,CSE022,2004-04-07,cse022@student.edu.in
Student23,CSE023,2005-07-30,cse023@student.edu.in
Student24,CSE024,2002-01-15,cse024@student.edu.in
Student25,CSE025,2003-06-09,cse025@student.edu.in
Student26,CSE026,2004-02-28,cse026@student.edu.in
Student27,CSE027,2005-10-12,cse027@student.edu.in
Student28,CSE028,2002-05-19,cse028@student.edu.in
Student29,CSE029,2003-11-04,cse029@student.edu.in
Student30,CSE030,2004-09-26,cse030@student.edu.in
Student31,CSE031,2005-04-01,cse031@student.edu.in
Student32,CSE032,2002-07-13,cse032@student.edu.in
Student33,CSE033,2003-02-18,cse033@student.edu.in
Student34,CSE034,2004-12-06,cse034@student.edu.in
Student35,CSE035,2005-08-23,cse035@student.edu.in
Student36,CSE036,2002-03-10,cse036@student.edu.in
Student37,CSE037,2003-10-29,cse037@student.edu.in
Student38,CSE038,2004-05-14,cse038@student.edu.in
Student39,CSE039,2005-01-27,cse039@student.edu.in
Student40,CSE040,2002-11-08,cse040@student.edu.in
Student41,CSE041,2003-06-21,cse041@student.edu.in
Student42,CSE042,2004-02-03,cse042@student.edu.in
Student43,CSE043,2005-09-17,cse043@student.edu.in
Student44,CSE044,2002-04-30,cse044@student.edu.in
Student45,CSE045,2003-12-11,cse045@student.edu.in
Student46,CSE046,2004-07-05,cse046@student.edu.in
Student47,CSE047,2005-03-19,cse047@student.edu.in
Student48,CSE048,2002-08-28,cse048@student.edu.in
Student49,CSE049,2003-01-16,cse049@student.edu.in
Student50,CSE050,2004-10-02,cse050@student.edu.in
Student51,CSE051,2005-05-25,cse051@student.edu.in
Student52,CSE052,2002-02-09,cse052@student.edu.in
Student53,CSE053,2003-09-01,cse053@student.edu.in
Student54,CSE054,2004-06-18,cse054@student.edu.in
Student55,CSE055,2005-12-07,cse055@student.edu.in
Student56,CSE056,2002-07-24,cse056@student.edu.in
Student57,CSE057,2003-03-06,cse057@student.edu.in
Student58,CSE058,2004-11-15,cse058@student.edu.in
Student59,CSE059,2005-04-29,cse059@student.edu.in
Student60,CSE060,2002-10-13,cse060@student.edu.in
Student61,CSE061,2003-05-02,cse061@student.edu.in
Student62,CSE062,2004-01-20,cse062@student.edu.in
Student63,CSE063,2005-08-09,cse063@student.edu.in
Student64,CSE064,2002-06-27,cse064@student.edu.in
Student65,CSE065,2003-11-18,cse065@student.edu.in
Student66,CSE066,2004-03-31,cse066@student.edu.in
Student67,CSE067,2005-02-12,cse067@student.edu.in
Student68,CSE068,2002-09-22,cse068@student.edu.in
Student69,CSE069,2003-07-04,cse069@student.edu.in
Student70,CSE070,2004-12-19,cse070@student.edu.in
Student71,CSE071,2005-06-08,cse071@student.edu.in
Student72,CSE072,2002-01-29,cse072@student.edu.in
Student73,CSE073,2003-04-16,cse073@student.edu.in
Student74,CSE074,2004-08-03,cse074@student.edu.in
Student75,CSE075,2005-10-21,cse075@student.edu.in
Student76,CSE076,2002-05-11,cse076@student.edu.in
Student77,CSE077,2003-12-28,cse077@student.edu.in
Student78,CSE078,2004-02-06,cse078@student.edu.in
Student79,CSE079,2005-07-15,cse079@student.edu.in
Student80,CSE080,2002-11-01,cse080@student.edu.in
